elo_home,elo_away,form_home_5,form_away_5,gf_home_5,ga_home_5,gf_away_5,ga_away_5,attack_home,defense_home,attack_away,defense_away,avg_shots_home_5,avg_shots_away_5,avg_sot_home_5,avg_sot_away_5,avg_corners_home_5,avg_corners_away_5,avg_yellow_home_5,avg_yellow_away_5,avg_red_home_5,avg_red_away_5,target
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
1510.0,1490.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,,,,,,,,,,,0
1500.0,1510.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
1500.0,1490.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1510.0,1490.0,3.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,,,,,,,,,,,1
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1480.28774368332,1509.71225631668,0.0,3.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,,,,,,,,,,,0
1490.0,1500.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,,,,1
1510.0,1490.0,3.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,,,,,,,,,,,1
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1498.8673697795948,1480.5750112778453,3.0,0.0,1.5,0.5,2.0,3.5,1.5,0.5,2.0,3.5,,,,,,,,,,,1
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
1500.0,1510.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,,,,,,,,,,,2
1481.1010217367,1519.71225631668,1.5,6.0,1.6666666666666667,2.6666666666666665,2.0,1.0,1.6666666666666667,2.6666666666666665,2.0,1.0,,,,,,,,,,,0
1510.0,1500.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,,,,,,,,,,,1
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1509.4249887221547,1.5,4.5,0.0,0.0,1.5,0.5,0.0,0.0,1.5,0.5,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
1498.34135932074,1490.28774368332,4.5,0.0,1.3333333333333333,0.6666666666666666,1.0,2.0,1.3333333333333333,0.6666666666666666,1.0,2.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2
1500.0,1500.0,0.0,1.5,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,2
1490.0,1500.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,2
1500.0,1490.0,1.5,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,,,,,,,,,,,0
1490.0,1480.28774368332,0.0,0.0,0.0,3.0,0.5,1.5,0.0,3.0,0.5,1.5,,,,,,,,,,,0
1510.0,1500.0,4.5,0.0,2.5,1.0,0.0,0.0,2.5,1.0,0.0,0.0,,,,,,,,,,,1
1510.0,1510.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,,,,,,,,,,,0
1510.0,1509.71225631668,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
1500.0,1490.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,,,,,,,,,,,0
1490.0,1499.7205315838,0.0,3.0,2.0,3.0,0.5,1.5,2.0,3.0,0.5,1.5,,,,,,,,,,,0
1500.28774368332,1490.0,1.5,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,,,,,,,,,,,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1510.0,1510.2712064588611,3.0,4.5,3.0,2.0,1.5,0.5,3.0,2.0,1.5,0.5,,,,,,,,,,,0
1492.2077898289958,1500.0,4.5,0.0,2.0,2.25,0.0,0.0,2.0,2.25,0.0,0.0,,,,,,,,,,,0
1510.28774368332,1490.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,,,,,,,,,,,0
1509.4249887221547,1490.0,4.5,0.0,2.5,1.5,1.0,2.0,2.5,1.5,1.0,2.0,,,,,,,,,,,1
1510.0,1500.0,3.0,1.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,0
1500.0,1500.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
1500.0,1500.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,0
1480.28774368332,1509.71225631668,0.0,6.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,2
1499.71225631668,1510.0,3.0,3.0,1.5,2.0,3.0,0.0,1.5,2.0,3.0,0.0,,,,,,,,,,,0
1500.0,1509.71225631668,3.0,4.5,1.5,2.0,1.5,1.0,1.5,2.0,1.5,1.0,,,,,,,,,,,0
1500.0,1510.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0
1500.0,1509.71225631668,1.5,4.5,1.0,1.0,2.5,2.0,1.0,1.0,2.5,2.0,,,,,,,,,,,0
1470.56721209952,1500.28774368332,0.0,1.5,0.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,1.0,1.0,,,,,,,,,,,2
1502.4320300694983,1489.7757597594973,7.5,0.0,2.0,1.8,0.0,2.0,2.0,1.8,0.0,2.0,,,,,,,,,,,0
1490.0,1490.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,2
