iter	Passed	Remaining
463	3774	4360
464	3782	4351
465	3790	4343
466	3798	4335
467	3805	4325
468	3812	4316
469	3819	4307
470	3826	4298
471	3834	4289
472	3842	4281
473	3850	4272
474	3858	4264
475	3865	4254
476	3872	4246
477	3880	4237
478	3886	4227
479	3894	4218
480	3901	4209
481	3908	4200
482	3916	4192
483	3923	4183
484	3930	4173
485	3938	4165
486	3946	4156
487	3953	4148
488	3961	4139
489	3968	4130
490	3975	4121
491	3983	4113
492	3991	4104
493	3998	4095
494	4005	4086
495	4013	4078
496	4021	4069
497	4029	4061
498	4036	4052
499	4043	4043
500	4051	4035
501	4058	4026
502	4067	4018
503	4074	4009
504	4082	4001
505	4089	3992
506	4097	3984
507	4105	3975
508	4112	3967
509	4119	3957
510	4127	3949
511	4135	3941
512	4143	3933
513	4150	3924
514	4158	3915
515	4166	3907
516	4173	3899
517	4180	3890
518	4187	3881
519	4195	3872
520	4202	3863
521	4209	3854
522	4217	3846
523	4225	3837
524	4232	3829
525	4239	3820
526	4246	3811
527	4253	3802
528	4261	3794
529	4268	3785
530	4275	3776
531	4283	3768
532	4291	3760
533	4299	3751
534	4306	3742
535	4313	3734
536	4320	3725
537	4328	3716
538	4335	3708
539	4343	3700
540	4351	3691
541	4358	3683
542	4365	3674
543	4373	3665
544	4380	3657
545	4387	3648
546	4395	3640
547	4403	3632
548	4411	3624
549	4418	3615
550	4426	3606
551	4434	3598
552	4441	3590
553	4449	3581
554	4456	3573
555	4464	3565
556	4472	3557
557	4480	3548
558	4487	3540
559	4494	3531
560	4502	3523
561	4509	3514
562	4516	3505
563	4524	3497
564	4530	3488
565	4538	3479
566	4545	3471
567	4553	3463
568	4560	3454
569	4567	3445
570	4575	3437
571	4582	3429
572	4590	3420
573	4598	3412
574	4605	3404
575	4612	3395
576	4620	3387
577	4627	3378
578	4635	3370
579	4642	3361
580	4650	3353
581	4656	3344
582	4663	3335
583	4672	3328
584	4680	3320
585	4688	3312
586	4696	3304
587	4703	3295
588	4713	3288
589	4720	3280
590	4727	3271
591	4735	3263
592	4743	3255
593	4750	3247
594	4758	3238
595	4765	3230
596	4772	3221
597	4780	3213
598	4788	3205
599	4795	3197
600	4803	3188
601	4810	3180
602	4819	3172
603	4826	3164
604	4835	3156
605	4842	3148
606	4849	3139
607	4857	3131
608	4865	3123
609	4872	3115
610	4880	3107
611	4887	3098
612	4894	3090
613	4902	3082
614	4909	3073
615	4917	3065
616	4924	3057
617	4932	3048
618	4939	3040
619	4946	3032
620	4954	3023
621	4962	3015
622	4970	3007
623	4978	2999
624	4985	2991
625	4993	2983
626	5000	2974
627	5008	2966
628	5015	2958
629	5021	2949
630	5028	2940
631	5036	2932
632	5043	2923
633	5051	2915
634	5058	2907
635	5065	2899
636	5073	2891
637	5081	2883
638	5089	2875
639	5096	2866
640	5104	2859
641	5112	2850
642	5119	2842
643	5127	2834
644	5134	2825
645	5141	2817
646	5148	2809
647	5157	2801
648	5167	2794
649	5176	2787
650	5186	2780
651	5195	2773
652	5205	2765
653	5214	2758
654	5223	2751
655	5233	2744
656	5242	2737
657	5252	2730
658	5263	2723
659	5273	2716
660	5283	2709
661	5292	2702
662	5302	2695
663	5312	2688
664	5320	2680
665	5328	2672
666	5336	2664
667	5343	2655
668	5351	2647
669	5358	2639
670	5366	2631
671	5373	2622
672	5381	2614
673	5389	2606
674	5396	2598
675	5404	2590
676	5411	2581
677	5419	2573
678	5426	2565
679	5433	2557
680	5441	2548
681	5449	2540
682	5457	2532
683	5464	2524
684	5472	2516
685	5480	2508
686	5488	2500
687	5495	2492
688	5503	2484
689	5510	2475
690	5518	2467
691	5526	2459
692	5534	2451
693	5541	2443
694	5549	2435
695	5556	2427
696	5566	2419
697	5574	2411
698	5581	2403
699	5589	2395
700	5597	2387
701	5604	2379
702	5611	2370
703	5619	2362
704	5627	2354
705	5635	2346
706	5643	2338
707	5650	2330
708	5657	2321
709	5664	2313
710	5672	2305
711	5680	2297
712	5688	2289
713	5696	2281
714	5703	2273
715	5711	2265
716	5719	2257
717	5727	2249
718	5734	2241
719	5742	2233
720	5749	2224
721	5756	2216
722	5765	2208
723	5772	2200
724	5780	2192
725	5788	2184
726	5796	2176
727	5804	2168
728	5811	2160
729	5819	2152
730	5827	2144
731	5834	2136
732	5841	2127
733	5849	2119
734	5856	2111
735	5864	2103
736	5871	2095
737	5879	2087
738	5886	2079
739	5894	2071
740	5902	2063
741	5910	2055
742	5917	2046
743	5925	2038
744	5932	2030
745	5939	2022
746	5946	2014
747	5954	2006
748	5962	1997
749	5970	1990
750	5977	1981
751	5985	1973
752	5992	1965
753	6000	1957
754	6007	1949
755	6015	1941
756	6022	1933
757	6030	1925
758	6038	1917
759	6045	1909
760	6053	1901
761	6061	1893
762	6068	1885
763	6076	1876
764	6084	1868
765	6091	1860
766	6098	1852
767	6106	1844
768	6114	1836
769	6122	1828
770	6129	1820
771	6137	1812
772	6145	1804
773	6153	1796
774	6160	1788
775	6168	1780
776	6175	1772
777	6182	1764
778	6191	1756
779	6200	1748
780	6209	1741
781	6218	1733
782	6228	1726
783	6238	1718
784	6247	1711
785	6256	1703
786	6266	1695
787	6275	1688
788	6284	1680
789	6294	1673
790	6303	1665
791	6312	1657
792	6322	1650
793	6330	1642
794	6339	1634
795	6346	1626
796	6354	1618
797	6362	1610
798	6369	1602
799	6376	1594
800	6384	1586
801	6393	1578
802	6401	1570
803	6409	1562
804	6417	1554
805	6425	1546
806	6434	1538
807	6441	1530
808	6449	1522
809	6458	1514
810	6465	1506
811	6472	1498
812	6480	1490
813	6489	1482
814	6496	1474
815	6504	1466
816	6512	1458
817	6520	1450
818	6527	1442
819	6536	1434
820	6544	1426
821	6552	1418
822	6559	1410
823	6567	1402
824	6574	1394
825	6581	1386
826	6589	1378
827	6598	1370
828	6605	1362
829	6613	1354
830	6621	1346
831	6629	1338
832	6637	1330
833	6644	1322
834	6653	1314
835	6661	1306
836	6669	1298
837	6677	1290
838	6684	1282
839	6692	1274
840	6700	1266
841	6707	1258
842	6715	1250
843	6725	1243
844	6734	1235
845	6743	1227
846	6751	1219
847	6759	1211
848	6766	1203
849	6774	1195
850	6784	1187
851	6794	1180
852	6803	1172
853	6812	1164
854	6822	1156
855	6831	1149
856	6841	1141
857	6850	1133
858	6860	1126
859	6870	1118
860	6879	1110
861	6889	1102
862	6898	1095
863	6908	1087
864	6918	1079
865	6927	1071
866	6937	1064
867	6946	1056
868	6953	1048
869	6961	1040
870	6969	1032
871	6977	1024
872	6984	1016
873	6992	1008
874	6999	999
875	7007	991
876	7014	983
877	7021	975
878	7029	967
879	7037	959
880	7044	951
881	7052	943
882	7060	935
883	7067	927
884	7075	919
885	7083	911
886	7090	903
887	7098	895
888	7106	887
889	7113	879
890	7121	871
891	7129	863
892	7137	855
893	7145	847
894	7153	839
895	7161	831
896	7169	823
897	7177	815
898	7184	807
899	7192	799
900	7199	791
901	7208	783
902	7216	775
903	7224	767
904	7231	759
905	7239	751
906	7247	743
907	7254	735
908	7261	726
909	7270	719
910	7277	710
911	7285	702
912	7293	694
913	7300	686
914	7308	678
915	7315	670
916	7323	662
917	7331	654
918	7339	646
919	7347	638
920	7355	630
921	7362	622
922	7370	614
923	7378	606
924	7386	598
925	7393	590
926	7400	582
927	7408	574
928	7416	566
929	7424	558
930	7432	550
931	7440	542
932	7448	534
933	7455	526
934	7463	518
935	7471	510
936	7478	502
937	7486	494
938	7493	486
939	7502	478
940	7510	470
941	7518	462
942	7526	454
943	7534	446
944	7542	438
945	7550	430
946	7557	422
947	7565	414
948	7573	406
949	7582	399
950	7589	391
951	7597	383
952	7605	375
953	7613	367
954	7620	359
955	7629	351
956	7637	343
957	7644	335
958	7652	327
959	7660	319
960	7667	311
961	7674	303
962	7682	295
963	7691	287
964	7699	279
965	7707	271
966	7715	263
967	7722	255
968	7731	247
969	7738	239
970	7746	231
971	7753	223
972	7761	215
973	7769	207
974	7776	199
975	7784	191
976	7792	183
977	7800	175
978	7808	167
979	7815	159
980	7823	151
981	7831	143
982	7839	135
983	7846	127
984	7854	119
985	7863	111
986	7870	103
987	7878	95
988	7885	87
989	7893	79
990	7901	71
991	7908	63
992	7917	55
993	7924	47
994	7931	39
995	7938	31
996	7946	23
997	7955	15
998	7962	7
999	7970	0
