iter	MultiClass
342	0.9891410115
343	0.9890263863
344	0.9889961007
345	0.9888964327
346	0.9887838022
347	0.9886622783
348	0.9885426842
349	0.9884245055
350	0.9882424937
351	0.9881272563
352	0.9880335046
353	0.9879849462
354	0.987897432
355	0.9878008677
356	0.9876857697
357	0.9876051102
358	0.9874684642
359	0.9873374244
360	0.9872480909
361	0.9871631902
362	0.9870025529
363	0.9868897858
364	0.98679954
365	0.9866621498
366	0.9866044761
367	0.986530179
368	0.986356432
369	0.9862858903
370	0.986200222
371	0.9860803619
372	0.9859843692
373	0.9858387003
374	0.9857459794
375	0.9856242396
376	0.9855615863
377	0.9854403353
378	0.9853042647
379	0.9851731373
380	0.9850811572
381	0.9849116376
382	0.9847986051
383	0.9847273742
384	0.9845610891
385	0.9843895375
386	0.9842950581
387	0.984206898
388	0.9841662491
389	0.9841125637
390	0.9839541062
391	0.9838334349
392	0.9837715096
393	0.9836475941
394	0.9835381243
395	0.9834218994
396	0.9833331826
397	0.9832227254
398	0.9831271325
399	0.9830194589
400	0.982859786
401	0.9827593653
402	0.9826741477
403	0.9825763893
404	0.9824090101
405	0.9823028056
406	0.9822571718
407	0.9821010592
408	0.9819528898
409	0.9817935234
410	0.9817101289
411	0.9815589639
412	0.9814555115
413	0.9813698553
414	0.9813288892
415	0.9812003595
416	0.9810962099
417	0.9810254701
418	0.9809430503
419	0.9808397146
420	0.9806936952
421	0.9806227561
422	0.9805087275
423	0.9804397851
424	0.9803549274
425	0.9802176253
426	0.9800224517
427	0.9799433878
428	0.9798379245
429	0.979713342
430	0.9796123456
431	0.979494785
432	0.9794030613
433	0.9792977216
434	0.9791647531
435	0.9790626927
436	0.9788940563
437	0.9787412649
438	0.9786098032
439	0.9784826614
440	0.9783159625
441	0.9782376125
442	0.9781085176
443	0.9780046332
444	0.9778804243
445	0.9778123127
446	0.9776886583
447	0.9775396748
448	0.9774558033
449	0.9773042373
450	0.9772140498
451	0.9770670287
452	0.9768915303
453	0.9767660543
454	0.9766734056
455	0.9765471807
456	0.9765154025
457	0.9764507818
458	0.9763476462
459	0.9762739276
460	0.9762034503
461	0.9760931727
462	0.9759856195
463	0.9758030688
464	0.9757314668
465	0.9755852425
466	0.9754627142
467	0.9753373345
468	0.9752092769
469	0.9751494192
470	0.9750856459
471	0.9749780078
472	0.9748364223
473	0.9747515199
474	0.9746286224
475	0.9744971041
476	0.9743739307
477	0.9742565007
478	0.9741923769
479	0.9741090616
480	0.9740428648
481	0.9739509292
482	0.9737925798
483	0.9736375996
484	0.9735315457
485	0.9734279874
486	0.9733238155
487	0.973247966
488	0.9731624886
489	0.9730015153
490	0.9729325917
491	0.9727670866
492	0.9726784433
493	0.9725862264
494	0.9725393128
495	0.9724422081
496	0.972337715
497	0.9721752884
498	0.9721170312
499	0.9719804193
500	0.9718937402
501	0.9718062842
502	0.9716759212
503	0.9715969371
504	0.9714735073
505	0.9713522834
506	0.9712491406
507	0.9711154209
508	0.9710028573
509	0.9709420024
510	0.9708078353
511	0.9706805346
512	0.9705678922
513	0.9704709639
514	0.9703422306
515	0.9701766858
516	0.9700651464
517	0.9699258341
518	0.9698571732
519	0.9697951099
520	0.9696814907
521	0.9696215816
522	0.9695702959
523	0.9694163705
524	0.9693207788
525	0.9692173443
526	0.9690343238
527	0.9689247396
528	0.9687867451
529	0.9686893493
530	0.9686009507
531	0.9684605323
532	0.9683326629
533	0.9682147395
534	0.9681237623
535	0.9680437137
536	0.9679801704
537	0.9678757762
538	0.9677860915
539	0.9676964952
540	0.9675655908
541	0.9675001962
542	0.9673927871
543	0.9672783862
544	0.9671668663
545	0.9671004481
546	0.9670236093
547	0.9669252434
548	0.9667986509
549	0.966718476
550	0.9666609287
551	0.9665792977
552	0.9665198879
553	0.9664131759
554	0.9663080806
555	0.966232798
556	0.9661576256
557	0.9660549125
558	0.9659199435
559	0.9658470028
560	0.9657372504
561	0.965606521
562	0.9655018773
563	0.9653513537
564	0.9653009423
565	0.9651991611
566	0.9651129423
567	0.9650200767
568	0.9649346424
569	0.9648347362
570	0.9647381542
571	0.9646682527
572	0.9645262193
573	0.9644613006
574	0.9643753575
575	0.9643001341
576	0.9642259944
577	0.9641100709
578	0.9640392717
579	0.9639153296
580	0.9637753886
581	0.9636895456
582	0.9635903177
583	0.9634816055
584	0.9634104324
585	0.9632641656
586	0.96316797
587	0.9630430331
588	0.9629007079
589	0.9627967787
590	0.9626692127
591	0.962528314
592	0.9624043331
593	0.962331783
594	0.9622144199
595	0.9621575834
596	0.9620900431
597	0.9619735947
598	0.9618440717
599	0.9617532556
600	0.9616396315
601	0.9615135272
602	0.9614162809
603	0.9613283538
604	0.9612263854
605	0.9611372651
606	0.9610423658
607	0.9609530204
608	0.9609110418
609	0.9608088924
610	0.9607255827
611	0.9606163875
612	0.9604692495
613	0.9603475468
614	0.9603007656
615	0.9602282516
616	0.9601165186
617	0.9600270367
618	0.9599597199
619	0.959810809
620	0.9596931454
621	0.9595590958
622	0.9594323159
623	0.9593065827
624	0.9591772304
625	0.9591016463
626	0.958977168
627	0.958817665
628	0.958699607
629	0.9586588416
630	0.958600761
631	0.9585092009
632	0.9583339273
633	0.9581801752
634	0.9581245095
635	0.9580348581
636	0.9579208996
637	0.9577671666
638	0.957672943
639	0.9575592764
640	0.957382939
641	0.9573096927
642	0.9572402573
643	0.9571378031
644	0.9570733212
645	0.9569595813
646	0.9568695238
647	0.9568088555
648	0.9567100781
649	0.9566182194
650	0.9565033665
651	0.95643676
652	0.9563623801
653	0.9562525889
654	0.9561466899
655	0.9560368275
656	0.9559231134
657	0.9558383694
658	0.9557354779
659	0.9555946211
660	0.9555179374
661	0.9553948088
662	0.9552919667
663	0.9552126169
664	0.9551121561
665	0.9550371986
666	0.9549169805
667	0.9548511327
668	0.9547819336
669	0.9546538699
670	0.954579332
671	0.9544879364
672	0.9543733517
673	0.954224909
674	0.9541321331
675	0.953999273
676	0.9539175379
677	0.9537855705
678	0.9536730551
679	0.9536080365
680	0.9535002117
681	0.9533641828
682	0.9532565195
683	0.9531680113
684	0.9531178583
685	0.9530713746
686	0.9529773946
687	0.9528724928
688	0.9528152351
689	0.9527507872
690	0.9526620449
691	0.9525865229
692	0.9525122673
693	0.9524118321
694	0.9522671321
695	0.9521668285
696	0.9520309971
697	0.9519293663
698	0.9518607045
699	0.9517653158
700	0.9516561883
701	0.9516063062
702	0.951523711
703	0.9513775976
704	0.9512572616
705	0.9511347688
706	0.9510429363
707	0.9509661819
708	0.9509126235
709	0.9508073914
710	0.9506461021
711	0.9505547225
712	0.9504549945
713	0.9503083653
714	0.9502551186
715	0.9500992779
716	0.9500423496
717	0.9498964869
718	0.9498255435
719	0.9496933213
720	0.9496216578
721	0.9494898623
722	0.9493957694
723	0.9493432603
724	0.9492105065
725	0.9491041952
726	0.9489357655
727	0.9488504882
728	0.9487630015
729	0.9487085025
730	0.9486453253
731	0.9485923202
732	0.9484994956
733	0.9483817343
734	0.9482684425
735	0.9482112467
736	0.9481193517
737	0.9480502146
738	0.9479714407
739	0.9477987884
740	0.9476917035
741	0.9476001744
742	0.9475432306
743	0.947468698
744	0.9473898027
745	0.9473166081
746	0.9471924908
747	0.947120935
748	0.9470410094
749	0.9469338298
750	0.9468213389
751	0.9466847498
752	0.9466093701
753	0.9465400572
754	0.9464731972
755	0.9463506702
756	0.9462900925
757	0.9461809305
758	0.9461119617
759	0.9460009911
760	0.9459388292
761	0.9458505587
762	0.9457390664
763	0.9456706025
764	0.9455696423
765	0.9454406553
766	0.9453813023
767	0.9452383176
768	0.9451055518
769	0.9450001365
770	0.944930731
771	0.9448294352
772	0.9447034457
773	0.9446244003
774	0.9445286883
775	0.9444328156
776	0.944322968
777	0.9442568424
778	0.9441622107
779	0.9440838174
780	0.9440047441
781	0.9439150267
782	0.9438171893
783	0.943714558
784	0.9436010363
785	0.9434580961
786	0.9433879779
787	0.9432889215
788	0.9432210454
789	0.9431167171
790	0.9430773403
791	0.942990417
792	0.9428380509
793	0.9427652052
794	0.9426410032
795	0.9425309482
796	0.9424251599
797	0.9422790385
798	0.9421441278
799	0.9420374353
800	0.9419437527
801	0.9417612766
802	0.9416779461
803	0.9415542396
804	0.9414794976
805	0.9413804653
806	0.941272109
807	0.9412049959
808	0.9410884163
809	0.9409870016
810	0.9409179786
811	0.94078136
812	0.940705308
813	0.9405917187
814	0.9404428551
815	0.9403622264
816	0.9402675964
817	0.9401684946
818	0.9401084609
819	0.9399949804
820	0.9399355871
821	0.939838373
822	0.9397437602
823	0.9396577835
824	0.9395583366
825	0.9395094329
826	0.939443533
827	0.9393595761
828	0.939278693
829	0.9392064816
830	0.9391296567
831	0.939018185
832	0.9389196146
833	0.9387985675
834	0.9387411488
835	0.9385847443
836	0.9384656744
837	0.9383574037
838	0.9382687815
839	0.9381398475
840	0.9380547486
841	0.9379810618
842	0.9379447975
843	0.9378464674
844	0.9377489518
845	0.9376759986
846	0.9376214565
847	0.9375557648
848	0.9375222473
849	0.9374074235
850	0.9372865069
851	0.937167911
852	0.9370015958
853	0.9369274693
854	0.936848423
855	0.9367805291
856	0.9366955743
857	0.9365633957
858	0.9364812755
859	0.9363724079
860	0.9362724729
861	0.9361755952
862	0.9360825679
863	0.9359888103
864	0.9358542113
865	0.9357658271
866	0.9356348682
867	0.9355334927
868	0.9354751423
869	0.9354179071
870	0.9353191008
871	0.9352490777
872	0.9351042285
873	0.9350153045
874	0.9349154718
875	0.9348787784
876	0.93483273
877	0.9347727826
878	0.934667191
879	0.9345820921
880	0.9345088729
881	0.9344218041
882	0.9343504019
883	0.9342783225
884	0.9341880615
885	0.9341039421
886	0.9340151681
887	0.9339036387
888	0.9338112638
889	0.9337218294
890	0.9336515451
891	0.9335928455
892	0.9335023004
893	0.933417851
894	0.933304231
895	0.9332015481
896	0.9330873995
897	0.9330115936
898	0.9329020053
899	0.9328202422
900	0.9327642525
901	0.9326225877
902	0.9325793312
903	0.9325106897
904	0.9324573817
905	0.9323215203
906	0.9322261913
907	0.932138053
908	0.9320860493
909	0.9319784062
910	0.9318739541
911	0.9317552176
912	0.9316776469
913	0.9315982473
914	0.9314974372
915	0.9314224821
916	0.9313133334
917	0.9312322561
918	0.9311062009
919	0.9310431481
920	0.9309741592
921	0.9308453739
922	0.9307614469
923	0.9306764089
924	0.9305902151
925	0.9305458167
926	0.9304632769
927	0.9303472103
928	0.9302230168
929	0.930148908
930	0.9300711756
931	0.9299965382
932	0.929896552
933	0.9298034847
934	0.9297254013
935	0.9296150897
936	0.929512237
937	0.9293664633
938	0.9292895131
939	0.9291816732
940	0.9291082165
941	0.9290178047
942	0.9289021506
943	0.9288584749
944	0.928829395
945	0.9287424274
946	0.9286670266
947	0.9285388086
948	0.928461733
949	0.9283523456
950	0.9282720685
951	0.9281912052
952	0.928106646
953	0.9280428971
954	0.927955964
955	0.9278411792
956	0.9277256165
957	0.9276777834
958	0.9276141616
959	0.9275228671
960	0.9273806545
961	0.9273082171
962	0.9272221272
963	0.9271106366
964	0.9270204908
965	0.9269278897
966	0.9268478323
967	0.9267170625
968	0.9266716455
969	0.9265990996
970	0.9265381055
971	0.9264306167
972	0.9263626367
973	0.9262660236
974	0.9262043564
975	0.926149165
976	0.9261147478
977	0.9259761176
978	0.925893743
979	0.9258244221
980	0.925733726
981	0.9256274553
982	0.9255639381
983	0.925495278
984	0.9253520948
985	0.9252041472
986	0.9251332353
987	0.9250726172
988	0.9249871787
989	0.9249002466
990	0.9247896395
991	0.9247143838
992	0.9245909024
993	0.9245455517
994	0.92447925
995	0.9244181796
996	0.9243197183
997	0.9242113612
998	0.924098372
999	0.9239364952
